userId,movieId,rating,timestamp
1,17,4.0,944249077
2,31,5.0,836423902
3,2,3.5,1084485210
4,223,4.0,960485552
5,10,4.0,840768638
6,590,4.0,1100062902
7,19,3.0,840385932
8,32,4.0,1553765549
9,32,4.0,1139427899
10,1,2.5,1169265231
11,1,3.0,850085076
12,31,3.0,1327271860
13,6,5.0,995949973
14,437,5.0,1336852076
15,17,4.5,1289858271
16,110,1.0,1517020525
17,1,4.0,1027305751
18,32,3.0,1252007331
19,1,3.0,974704488
20,1,5.0,1553184230
21,611,4.0,900711542
22,260,4.0,1572225634
23,1,3.0,1570189932
24,1,4.0,945353745
25,20,2.5,1641308708
26,47,5.0,1584058873
27,3578,4.0,1481038416
28,1,4.0,961438127
29,4,2.0,845056440
30,480,3.5,1167826780
31,47,5.0,1673768714
32,2,3.0,837622347
33,1,5.0,1226362069
34,1,4.0,1194741818
35,10,4.0,1437330846
36,1,3.0,1420839739
37,1,1.0,992728185
38,260,1.5,1611938180
39,6,3.0,859534438
40,16,4.0,940028008
41,32,4.0,1260835477
42,36,3.0,855645897
43,1,5.0,834322449
44,293,5.0,1472788878
45,47,4.5,1580415304
46,1,4.0,1443951415
47,6,4.0,938807801
48,3,5.0,840926509
49,19,3.0,840478416
50,32,5.0,1262076877
51,1,3.5,1151349244
52,16,2.0,1110508632
53,260,5.0,1487185389
54,1,4.0,864128211
55,22,5.0,1287726774
56,16,3.0,1082170083
57,1,4.0,852581231
58,260,4.0,1672550507
59,1,4.0,1030395462
60,1,3.0,1441153002
61,2,5.0,831973970
62,1,5.0,916455356
63,150,4.5,1151841824
64,1,5.0,1472141781
65,1,2.0,1119296373
66,356,3.5,1449462299
67,1,4.0,1167599520
68,97,3.0,1444875777
69,111,4.5,1447682652
70,1,4.0,1079063871
71,5,3.0,831589586
72,6,5.0,833682444
73,13,3.0,1172039890
74,1,4.5,1450132823
75,110,5.0,1693115479
76,1,4.5,1549660956
77,6,4.0,842069675
78,1,4.0,902094230
79,296,2.5,1682025871
80,32,5.0,1468690943
81,50,4.0,1556863314
82,50,5.0,1002182026
83,1,3.0,1458856171
84,1,4.0,1433889623
85,1,4.0,1007022066
86,6,4.0,942354623
87,1,3.5,1131311060
88,1,4.0,974646559
89,2,3.0,840550849
90,62,2.0,979680721
91,34,3.0,938454896
92,6,5.0,1588380205
